timestamp, Sun Apr 22 23:46:59 2001 PT
Yahoo! Sports http://sports.yahoo.com, The data is for personal use only and any reproduction or distribution for commercial purposes is expressly prohibited.
ID,TEAM,NAME,FULLNAME,STATUS,POS,AVG,BAT,HIT,DOUBLE,TRIPLE,HOMER,WALK,STEAL,HAND,CAUGHT,SAC_HIT,SAC_FLY,ERROR,RUN,RBI,PASSED,SO,GAMES,SLUGGING,HIT_BY,ON_BASE,ERA,WIN,LOSS,SAVE,INNING,H,BB,K,HR,R,ER,HIT_BAT,WP,BALK,WINNING,START,COMPLETE,SHUTOUT
2876,CHA,Baldwin,James Baldwin,A,SP,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,3.86,0,0,0,0,6,0,0,2,3,0,0,0,0,0,0,0,0
2877,CHN,Bere,Jason Bere,A,SP,167,6,1,0,0,0,0,0,,0,2,0,0,0,0,0,0,3,167,0,167,3.32,3,0,0,19,13,7,19,1,7,7,0,0,0,1000,3,0,0
2880,ARI,Ellis,Robert Ellis,A,SP,0,4,0,0,0,0,1,0,R,0,0,0,0,0,0,0,1,1,0,0,200,3.65,1,0,0,6,12,7,4,0,5,1,0,0,0,1000,1,0,0
2884,KAN,R Hernandez,Roberto Hernandez,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,11,0,2,3,6.1,16,4,4,2,11,11,0,2,0,0,0,0,0
2931,BAL,Groom,Buddy Groom,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1,5.1,2,0,5,0,0,0,0,0,0,1000,0,0,0
2934,HOU,Lima,Jose Lima,A,SP,0,9,0,0,0,0,0,0,,0,0,0,0,0,0,0,4,3,0,0,0,7.17,1,1,0,17.1,27,8,13,4,18,9,2,1,0,500,3,0,0
2937,BOS,Miller,Trever Miller,M,RP,0,0,0,0,0,0,0,0,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2942,CHA,D Wells,David Wells,A,SP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,3.9,2,2,0,30,31,6,17,4,13,13,0,0,0,500,4,1,0
2961,COL,Bohanon,Brian Bohanon,A,SP,250,4,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,3,250,0,250,9.82,0,2,0,14.2,19,8,7,4,16,16,2,0,0,0,3,0,0
2962,HOU,K Bottenfiel,Kent Bottenfield,A,SP,200,5,1,0,0,0,0,0,,0,0,0,0,0,0,0,2,3,200,0,200,3.94,1,1,0,13,15,3,9,4,7,7,1,0,0,500,2,0,0
2982,NYM,Cook,Dennis Cook,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,5.1,2,0,4,0,0,0,0,1,0,1000,0,0,0
2984,SFO,Embree,Alan Embree,A,RP,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,6,13,3,8,2,8,8,1,1,0,0,0,0,0
2985,KAN,Grimsley,Jason Grimsley,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9,0,0,0,2.7,0,1,0,11.1,8,4,6,0,4,4,0,0,0,0,0,0,0
2988,TAM,A Lopez,Albie Lopez,A,SP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,1.45,2,1,0,31,22,14,24,1,5,5,2,0,1,667,4,1,1
2990,PHI,Mesa,Jose Mesa,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,4.32,0,0,5,7,12,5,9,0,4,1,0,1,1,0,0,0,0
2995,CLE,Shuey,Paul Shuey,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,3.72,0,1,1,7,10,4,12,0,5,4,0,1,0,0,0,0,0
2997,CHN,Tavarez,Julian Tavarez,A,SP,286,7,2,0,0,0,0,0,,0,3,0,1,1,2,0,1,3,286,0,286,1.11,2,0,0,18.1,21,11,13,0,4,3,0,0,0,1000,3,0,0
3025,FLA,Bones,Ricky Bones,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,0,5.4,0,1,0,5.1,11,2,2,0,4,4,0,0,0,0,0,0,0
3029,CHA,Eldred,Cal Eldred,I,SP,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,2,0,0,0,13.5,0,1,0,6,12,3,6,1,9,9,3,0,0,0,2,0,0
3030,LOS,Fetters,Mike Fetters,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,0,1.5,0,0,0,5,2,0,6,1,1,1,0,0,0,0,0,0,0
3035,MON,Lloyd,Graeme Lloyd,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,6.2,5,1,1,0,0,0,0,0,0,1000,0,0,0
3036,BAL,Mercedes,Jose Mercedes,A,SP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,0,8.34,0,3,0,15.2,27,8,15,2,21,17,2,0,1,0,3,0,0
3069,MIN,Guardado,Eddie Guardado,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,10.8,1,0,0,5,7,0,4,1,6,6,0,1,0,1000,0,0,0
3070,OAK,Guthrie,Mark Guthrie,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,0,3.86,0,0,0,9.1,8,4,7,2,5,4,1,0,0,0,0,0,0
3071,MIN,Hawkins,Latroy Hawkins,A,RP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,0,1.08,0,0,3,6.1,6,9,4,0,1,1,0,1,0,0,0,0,0
3072,TEX,Mahomes,Pat Mahomes,A,RP,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,5,0,0,0,2.93,0,1,0,12,13,6,5,4,6,3,0,0,0,0,0,0,0
3076,MIN,B Radke,Brad Radke,A,SP,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,0,0,2.23,4,0,0,32.1,30,3,19,2,8,8,0,0,0,1000,4,1,0
